epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
184,639.877,1.84341,1.29687,1.2189,0.71324,0.44798,0.47407,0.15244,2.6848,1.20282,1.50226,0.00337325,0.00337325,0.00337325
185,643.301,1.87484,1.28374,1.21451,0.65874,0.42242,0.47538,0.16057,2.56938,1.2035,1.44659,0.00332457,0.00332457,0.00332457
186,646.753,1.9444,1.36603,1.24304,0.60105,0.4661,0.44365,0.15875,2.56277,1.19557,1.40427,0.00327608,0.00327608,0.00327608
187,650.186,1.89448,1.29692,1.22955,0.54232,0.53063,0.4879,0.17536,2.54621,1.34528,1.44552,0.00322778,0.00322778,0.00322778
188,653.63,1.89123,1.2897,1.22936,0.58598,0.52847,0.48533,0.16663,2.52609,1.20523,1.34165,0.00317969,0.00317969,0.00317969
189,657.077,1.83101,1.25879,1.20004,0.74403,0.52188,0.52292,0.18282,2.48164,1.17767,1.3672,0.0031318,0.0031318,0.0031318
190,660.571,1.84592,1.30087,1.27602,0.66533,0.50854,0.49912,0.16187,2.56166,1.18694,1.46019,0.00308412,0.00308412,0.00308412
191,663.982,1.84482,1.28127,1.22914,0.81648,0.38616,0.45643,0.14605,2.60405,1.34295,1.53553,0.00303665,0.00303665,0.00303665
192,667.432,1.85199,1.26299,1.25555,0.76481,0.41037,0.49598,0.15835,2.51305,1.37617,1.50351,0.00298941,0.00298941,0.00298941
193,670.858,1.86523,1.33864,1.23386,0.6121,0.45798,0.48193,0.16138,2.56224,1.20317,1.47142,0.00294239,0.00294239,0.00294239
194,674.296,1.835,1.28056,1.22655,0.76619,0.46012,0.51273,0.19252,2.57934,1.12917,1.46104,0.00289561,0.00289561,0.00289561
195,677.752,1.89668,1.24084,1.21418,0.67817,0.49466,0.50139,0.17133,2.59101,1.24382,1.43697,0.00284906,0.00284906,0.00284906
196,681.185,1.83665,1.23783,1.20116,0.78029,0.44872,0.49661,0.18936,2.51838,1.20868,1.40071,0.00280275,0.00280275,0.00280275
197,684.613,1.81778,1.2986,1.25213,0.78397,0.49223,0.5068,0.1719,2.65404,1.11756,1.49646,0.00275668,0.00275668,0.00275668
198,688.15,1.79866,1.27864,1.20778,0.79184,0.40579,0.44486,0.15161,2.56242,1.30189,1.48658,0.00271087,0.00271087,0.00271087
199,691.591,1.86919,1.30548,1.26534,0.75802,0.46826,0.49079,0.13457,2.71278,1.2796,1.52624,0.00266532,0.00266532,0.00266532
200,695.021,1.84878,1.27237,1.22879,0.70597,0.45057,0.48186,0.16619,2.54156,1.22343,1.42641,0.00262003,0.00262003,0.00262003
201,698.474,1.82054,1.24674,1.24103,0.73067,0.51711,0.53904,0.16719,2.66922,1.1831,1.40132,0.002575,0.002575,0.002575
202,701.93,1.84127,1.29046,1.2957,0.70312,0.4444,0.51174,0.1719,2.57698,1.22226,1.4054,0.00253024,0.00253024,0.00253024
203,705.366,1.77354,1.18598,1.22722,0.74211,0.55058,0.54541,0.19904,2.38567,1.06264,1.32635,0.00248577,0.00248577,0.00248577
204,708.866,1.85794,1.19342,1.18138,0.76687,0.48431,0.52998,0.17614,2.52868,1.14927,1.4683,0.00244157,0.00244157,0.00244157
205,712.311,1.82726,1.21641,1.21138,0.71387,0.51112,0.53654,0.16085,2.54997,1.15238,1.46637,0.00239766,0.00239766,0.00239766
206,715.743,1.86107,1.2321,1.20177,0.63121,0.50868,0.49565,0.16919,2.58994,1.22327,1.39645,0.00235404,0.00235404,0.00235404
207,719.171,1.74962,1.20095,1.18946,0.71163,0.48779,0.49667,0.18052,2.51126,1.26556,1.38119,0.00231071,0.00231071,0.00231071
208,722.63,1.83473,1.27198,1.23121,0.79508,0.44266,0.52517,0.15734,2.5912,1.1776,1.39288,0.00226769,0.00226769,0.00226769
209,726.052,1.77437,1.18952,1.17677,0.71186,0.44919,0.493,0.18607,2.46335,1.16334,1.34522,0.00222497,0.00222497,0.00222497
210,729.482,1.77183,1.22283,1.17825,0.72542,0.47204,0.49783,0.1714,2.56078,1.14862,1.34544,0.00218256,0.00218256,0.00218256
211,733.006,1.86375,1.24161,1.22669,0.63432,0.52279,0.53893,0.18771,2.39223,1.09739,1.30946,0.00214046,0.00214046,0.00214046
212,736.681,1.76014,1.17161,1.2096,0.70998,0.48152,0.48575,0.15586,2.58729,1.1124,1.37468,0.00209869,0.00209869,0.00209869
213,740.188,1.835,1.22754,1.20708,0.7755,0.52001,0.54211,0.17715,2.56343,1.18664,1.42346,0.00205723,0.00205723,0.00205723
214,743.758,1.8395,1.19358,1.22185,0.72499,0.4499,0.48675,0.16256,2.62944,1.16646,1.50945,0.00201611,0.00201611,0.00201611
215,747.241,1.76561,1.18028,1.21083,0.78708,0.5097,0.53555,0.18995,2.51338,1.14723,1.49382,0.00197532,0.00197532,0.00197532
216,750.552,1.76137,1.21175,1.20904,0.68996,0.49245,0.50409,0.16031,2.5668,1.12604,1.44726,0.00193486,0.00193486,0.00193486
217,753.917,1.82554,1.24682,1.23643,0.78097,0.50451,0.56821,0.20366,2.49745,1.11612,1.37929,0.00189475,0.00189475,0.00189475
218,757.287,1.81625,1.22884,1.19448,0.68721,0.55664,0.55722,0.1874,2.51711,1.08247,1.42944,0.00185498,0.00185498,0.00185498
219,760.608,1.78145,1.20573,1.20813,0.67804,0.56935,0.54807,0.16522,2.66712,1.17617,1.51851,0.00181557,0.00181557,0.00181557
220,763.94,1.83694,1.23372,1.2328,0.78941,0.44821,0.51027,0.18307,2.53449,1.17197,1.43727,0.00177651,0.00177651,0.00177651
221,767.241,1.83847,1.17067,1.17132,0.75114,0.50499,0.52576,0.16668,2.60324,1.09928,1.44543,0.0017378,0.0017378,0.0017378
222,770.562,1.77806,1.22345,1.18295,0.76149,0.50789,0.50923,0.17647,2.55561,1.10047,1.43374,0.00169946,0.00169946,0.00169946
223,773.865,1.79524,1.15299,1.17472,0.7243,0.51297,0.55146,0.20458,2.39106,1.05842,1.35126,0.00166149,0.00166149,0.00166149
224,777.187,1.71443,1.17577,1.17632,0.67554,0.41281,0.41929,0.14222,2.57382,1.21172,1.42556,0.00162389,0.00162389,0.00162389
225,780.471,1.75379,1.14541,1.18779,0.73869,0.48653,0.53273,0.18518,2.50226,1.11581,1.37498,0.00158667,0.00158667,0.00158667
226,783.778,1.77798,1.14131,1.17077,0.67838,0.53247,0.51727,0.18783,2.4717,1.10379,1.35678,0.00154982,0.00154982,0.00154982
227,787.121,1.77987,1.18417,1.20192,0.67839,0.54971,0.55654,0.19554,2.50983,1.14157,1.38931,0.00151336,0.00151336,0.00151336
228,790.38,1.75041,1.17457,1.18713,0.69091,0.54968,0.54392,0.20489,2.4533,1.06215,1.3899,0.00147729,0.00147729,0.00147729
229,793.688,1.82381,1.19752,1.21747,0.77195,0.51607,0.55341,0.1887,2.5295,1.08787,1.38244,0.00144161,0.00144161,0.00144161
230,796.983,1.72278,1.15902,1.20859,0.64993,0.53107,0.54346,0.1897,2.62368,1.11714,1.45524,0.00140632,0.00140632,0.00140632
231,800.267,1.77073,1.16955,1.22622,0.79514,0.4926,0.54396,0.19597,2.54782,1.10056,1.4218,0.00137143,0.00137143,0.00137143
232,803.571,1.70718,1.09164,1.17011,0.8208,0.4698,0.55708,0.19019,2.53042,1.0924,1.40805,0.00133695,0.00133695,0.00133695
233,806.837,1.78622,1.15084,1.18537,0.73457,0.55941,0.5762,0.2019,2.4924,1.06921,1.40388,0.00130287,0.00130287,0.00130287
234,810.111,1.7935,1.14345,1.19408,0.77206,0.5323,0.5519,0.2089,2.44038,1.05747,1.36358,0.00126921,0.00126921,0.00126921
235,813.435,1.72972,1.10521,1.21413,0.78632,0.53494,0.57452,0.20743,2.54035,1.06374,1.3843,0.00123596,0.00123596,0.00123596
236,816.713,1.78189,1.17347,1.19624,0.74095,0.54734,0.55807,0.19382,2.5514,1.08521,1.44314,0.00120313,0.00120313,0.00120313
237,819.999,1.82708,1.17416,1.19531,0.72936,0.5241,0.54306,0.20119,2.47465,1.07539,1.42324,0.00117072,0.00117072,0.00117072
238,823.296,1.70163,1.10081,1.15406,0.78021,0.5475,0.56682,0.19458,2.53205,1.07286,1.39539,0.00113873,0.00113873,0.00113873
239,826.561,1.70631,1.11295,1.19189,0.71391,0.54489,0.55811,0.17688,2.48795,1.09616,1.36443,0.00110718,0.00110718,0.00110718
240,829.845,1.77942,1.16043,1.18386,0.61958,0.53729,0.5295,0.18997,2.59265,1.08387,1.41161,0.00107605,0.00107605,0.00107605
241,833.109,1.70784,1.1273,1.17607,0.65274,0.5632,0.54192,0.18227,2.62617,1.11054,1.4431,0.00104537,0.00104537,0.00104537
242,836.447,1.78364,1.11033,1.20756,0.73074,0.53777,0.56166,0.19078,2.54013,1.10296,1.39527,0.00101512,0.00101512,0.00101512
243,839.764,1.71886,1.14961,1.19739,0.76134,0.52535,0.56541,0.20302,2.4556,1.0649,1.33787,0.000985311,0.000985311,0.000985311
244,843.048,1.79879,1.14085,1.2082,0.76798,0.50411,0.54331,0.19996,2.49377,1.03345,1.34191,0.000955951,0.000955951,0.000955951
245,846.302,1.76258,1.0782,1.18211,0.81002,0.5125,0.55546,0.19669,2.5074,1.05468,1.33655,0.00092704,0.00092704,0.00092704
246,849.66,1.69248,1.06951,1.15174,0.68435,0.56375,0.55546,0.19921,2.43047,1.08601,1.33305,0.000898581,0.000898581,0.000898581
247,853.212,1.7702,1.15337,1.16887,0.73692,0.5538,0.54924,0.18424,2.48546,1.09483,1.39203,0.000870577,0.000870577,0.000870577
248,856.73,1.79301,1.14963,1.19185,0.81988,0.5125,0.56869,0.19369,2.47696,1.01423,1.34298,0.000843031,0.000843031,0.000843031
249,860.267,1.78739,1.14681,1.20981,0.69336,0.54092,0.56643,0.17938,2.56365,1.07784,1.39658,0.000815947,0.000815947,0.000815947
250,863.832,1.80914,1.18429,1.21695,0.76074,0.55878,0.58154,0.18693,2.5622,1.13677,1.4378,0.000789327,0.000789327,0.000789327
251,867.312,1.76602,1.15457,1.17361,0.7506,0.57587,0.5774,0.19905,2.48783,1.06584,1.39129,0.000763174,0.000763174,0.000763174
252,870.832,1.7504,1.13325,1.21478,0.68933,0.55011,0.55664,0.18794,2.51817,1.0712,1.37071,0.000737492,0.000737492,0.000737492
253,874.33,1.76723,1.1052,1.15322,0.77053,0.49592,0.55377,0.19482,2.55713,1.08366,1.40015,0.000712282,0.000712282,0.000712282
254,877.825,1.8016,1.15745,1.16823,0.74835,0.53583,0.55823,0.18741,2.57952,1.14633,1.43651,0.000687548,0.000687548,0.000687548
255,881.404,1.71798,1.12356,1.16931,0.70204,0.55857,0.56098,0.18998,2.53191,1.12859,1.40986,0.000663292,0.000663292,0.000663292
256,884.893,1.71864,1.11609,1.18532,0.72267,0.53634,0.54676,0.18763,2.53752,1.14825,1.41176,0.000639518,0.000639518,0.000639518
257,888.397,1.77204,1.13368,1.22204,0.81154,0.50753,0.55995,0.20482,2.50954,1.10788,1.38631,0.000616227,0.000616227,0.000616227
258,891.937,1.74723,1.13466,1.22654,0.80816,0.52105,0.56611,0.2098,2.48311,1.05615,1.36318,0.000593422,0.000593422,0.000593422
259,895.558,1.74619,1.13158,1.1872,0.79579,0.52639,0.55427,0.19019,2.5587,1.13708,1.4214,0.000571106,0.000571106,0.000571106
260,899.094,1.74112,1.09633,1.12912,0.70824,0.53634,0.55162,0.18678,2.53384,1.15378,1.42055,0.000549281,0.000549281,0.000549281
261,902.59,1.74176,1.10002,1.1855,0.8109,0.50893,0.54484,0.18154,2.56029,1.0962,1.43081,0.00052795,0.00052795,0.00052795
262,906.104,1.70919,1.111,1.18729,0.73926,0.52684,0.56068,0.19173,2.54068,1.06555,1.42225,0.000507115,0.000507115,0.000507115
263,909.582,1.73793,1.12355,1.17759,0.74435,0.5295,0.56553,0.20935,2.49131,1.03404,1.40173,0.000486777,0.000486777,0.000486777
264,913.071,1.71276,1.0914,1.19324,0.72645,0.5538,0.56294,0.19962,2.55362,1.04179,1.43043,0.000466941,0.000466941,0.000466941
265,916.613,1.77908,1.11215,1.18072,0.74154,0.54954,0.55459,0.18454,2.61556,1.06192,1.46246,0.000447606,0.000447606,0.000447606
266,920.105,1.74941,1.10811,1.19509,0.75983,0.5654,0.57016,0.19837,2.57146,1.06186,1.44188,0.000428777,0.000428777,0.000428777
267,923.599,1.7031,1.07409,1.15713,0.76318,0.56505,0.56876,0.20801,2.50369,1.04736,1.40281,0.000410454,0.000410454,0.000410454
268,927.152,1.73353,1.09148,1.17729,0.71059,0.56132,0.54183,0.19768,2.48011,1.01209,1.38195,0.00039264,0.00039264,0.00039264
269,930.667,1.61067,1.01558,1.14257,0.70528,0.5538,0.54432,0.19054,2.53,1.01383,1.41298,0.000375337,0.000375337,0.000375337
270,934.165,1.67546,1.08409,1.19229,0.77592,0.49364,0.55494,0.189,2.5798,1.03866,1.44354,0.000358546,0.000358546,0.000358546
271,937.665,1.67419,1.07066,1.18552,0.8009,0.50794,0.57039,0.19616,2.55657,1.04354,1.44368,0.00034227,0.00034227,0.00034227
272,941.225,1.70233,1.09106,1.17536,0.7321,0.54897,0.57023,0.20338,2.50957,1.04959,1.41963,0.00032651,0.00032651,0.00032651
273,944.755,1.70931,1.08974,1.15705,0.81252,0.50789,0.57017,0.20849,2.48228,1.0349,1.39616,0.000311268,0.000311268,0.000311268
274,948.262,1.70657,1.08382,1.1448,0.72587,0.56235,0.58136,0.20613,2.50027,1.0303,1.39389,0.000296546,0.000296546,0.000296546
275,951.78,1.63513,1.05171,1.17255,0.77915,0.5538,0.58487,0.20591,2.50571,1.02587,1.39962,0.000282345,0.000282345,0.000282345
276,955.302,1.74212,1.10754,1.18866,0.73186,0.55996,0.57445,0.20175,2.51173,1.0145,1.39989,0.000268667,0.000268667,0.000268667
277,958.863,1.67023,1.09784,1.19598,0.76082,0.55557,0.57207,0.19767,2.51988,1.00771,1.40632,0.000255513,0.000255513,0.000255513
278,962.418,1.73367,1.11972,1.193,0.83854,0.50753,0.57175,0.19491,2.51063,1.01006,1.39957,0.000242885,0.000242885,0.000242885
279,965.95,1.67617,1.06638,1.16184,0.817,0.52142,0.573,0.19502,2.50527,1.02158,1.39883,0.000230784,0.000230784,0.000230784
280,969.532,1.72676,1.08222,1.14825,0.79558,0.54203,0.58552,0.20189,2.49058,1.01399,1.39141,0.000219212,0.000219212,0.000219212
281,973.058,1.71514,1.07959,1.13801,0.83366,0.54348,0.58193,0.20171,2.47276,1.00115,1.38521,0.000208169,0.000208169,0.000208169
282,976.566,1.69665,1.05778,1.14488,0.81967,0.53078,0.58383,0.20094,2.46902,0.98726,1.37972,0.000197658,0.000197658,0.000197658
283,980.058,1.73866,1.08561,1.17912,0.8372,0.52639,0.57935,0.19715,2.49677,0.99468,1.39579,0.000187678,0.000187678,0.000187678
284,983.572,1.65726,1.04104,1.1375,0.87854,0.5211,0.58304,0.19627,2.50106,1.01491,1.40935,0.000178232,0.000178232,0.000178232
285,987.052,1.64402,1.03009,1.13387,0.84425,0.51644,0.58205,0.1962,2.49724,1.02264,1.40415,0.00016932,0.00016932,0.00016932
286,991.334,1.68559,0.99166,1.12331,0.78165,0.57969,0.57677,0.19321,2.51498,1.04756,1.4098,0.000160943,0.000160943,0.000160943
287,994.808,1.69565,0.96812,1.08409,0.81089,0.52137,0.56997,0.18956,2.54486,1.03381,1.41659,0.000153102,0.000153102,0.000153102
288,998.294,1.67973,0.9473,1.07628,0.74138,0.58976,0.58134,0.18809,2.56795,1.01115,1.41854,0.000145798,0.000145798,0.000145798
289,1001.74,1.72558,0.96373,1.09454,0.74739,0.56766,0.58301,0.19509,2.55153,1.00362,1.40305,0.000139032,0.000139032,0.000139032
290,1005.19,1.6804,0.94346,1.08809,0.74734,0.56443,0.58156,0.19506,2.5276,0.99638,1.3866,0.000132805,0.000132805,0.000132805
291,1008.66,1.65688,0.91532,1.08109,0.71079,0.58121,0.58352,0.19465,2.52146,1.0086,1.38861,0.000127117,0.000127117,0.000127117
292,1012.19,1.68504,0.91324,1.11213,0.74664,0.56732,0.57758,0.19068,2.53712,1.02821,1.39599,0.000121968,0.000121968,0.000121968
293,1015.67,1.66667,0.90376,1.07357,0.76613,0.55247,0.57666,0.1898,2.55745,1.03371,1.40539,0.00011736,0.00011736,0.00011736
294,1019.3,1.63263,0.88883,1.07491,0.75007,0.56769,0.57231,0.18888,2.57139,1.03484,1.41352,0.000113293,0.000113293,0.000113293
295,1022.86,1.6393,0.91159,1.09877,0.74981,0.57267,0.57666,0.18841,2.57042,1.0232,1.41091,0.000109768,0.000109768,0.000109768
296,1026.39,1.67839,0.94329,1.07802,0.71565,0.58976,0.5914,0.19281,2.57315,1.02059,1.4193,0.000106784,0.000106784,0.000106784
297,1029.86,1.65747,0.88001,1.08144,0.79236,0.54846,0.59054,0.18895,2.5706,1.03367,1.42581,0.000104342,0.000104342,0.000104342
298,1033.34,1.58508,0.87717,1.05611,0.71748,0.58976,0.587,0.19131,2.56027,1.03067,1.41929,0.000102443,0.000102443,0.000102443
299,1036.84,1.66252,0.91316,1.07262,0.72261,0.59401,0.58197,0.19156,2.55733,1.02596,1.41802,0.000101086,0.000101086,0.000101086
300,1040.4,1.67135,0.90548,1.10828,0.74834,0.59398,0.57763,0.18963,2.55128,1.01972,1.41303,0.000100271,0.000100271,0.000100271
