epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,151.18,2.37143,2.35426,1.59896,0.17574,0.15091,0.10923,0.04749,2.58124,2.27455,1.74888,0.00952889,0.00952889,0.00952889
44,154.659,2.36894,2.39854,1.53401,0.07616,0.22194,0.04471,0.01268,2.84179,5.00852,2.00555,0.00950658,0.00950658,0.00950658
45,158.117,2.32953,2.38929,1.61256,0.19662,0.27979,0.11294,0.0395,2.73177,2.71988,1.73678,0.00948377,0.00948377,0.00948377
46,161.582,2.27229,2.30199,1.52648,0.27204,0.20532,0.16327,0.05531,2.61594,2.11243,1.61386,0.00946048,0.00946048,0.00946048
47,165.033,2.36105,2.34508,1.48102,0.21088,0.27548,0.13562,0.049,2.6385,2.13254,1.59661,0.00943671,0.00943671,0.00943671
48,168.508,2.31346,2.33309,1.48555,0.23642,0.24734,0.15138,0.04935,2.75191,2.01613,1.5883,0.00941245,0.00941245,0.00941245
49,172.019,2.26976,2.31747,1.5262,0.18774,0.21211,0.09665,0.02944,2.69549,2.68462,1.60964,0.00938772,0.00938772,0.00938772
50,175.531,2.21921,2.28809,1.52335,0.22013,0.21352,0.13616,0.05168,2.49326,2.04921,1.47739,0.00936251,0.00936251,0.00936251
51,179.014,2.38654,2.35859,1.55141,0.20899,0.20754,0.11816,0.04189,2.73646,2.50279,1.54761,0.00933683,0.00933683,0.00933683
52,182.512,2.29882,2.26532,1.4795,0.2101,0.23989,0.12523,0.0407,2.71003,2.33004,1.72987,0.00931067,0.00931067,0.00931067
53,185.992,2.38414,2.29594,1.50152,0.18979,0.28403,0.12545,0.03042,2.7842,2.60525,1.7334,0.00928405,0.00928405,0.00928405
54,189.48,2.30342,2.25165,1.49881,0.23488,0.23381,0.14892,0.0387,2.68743,2.01937,1.52193,0.00925697,0.00925697,0.00925697
55,192.954,2.24992,2.18321,1.50058,0.20704,0.24413,0.14442,0.0507,2.73908,2.10751,1.58308,0.00922942,0.00922942,0.00922942
56,196.528,2.26715,2.28388,1.54689,0.26153,0.27539,0.15506,0.0435,2.63727,2.04388,1.52742,0.00920142,0.00920142,0.00920142
57,200.055,2.26214,2.20618,1.43857,0.23251,0.28684,0.14701,0.04215,2.61009,2.41678,1.47713,0.00917296,0.00917296,0.00917296
58,203.556,2.20686,2.14573,1.48644,0.23193,0.24526,0.14461,0.04759,2.82411,2.19487,1.74163,0.00914405,0.00914405,0.00914405
59,207.006,2.19638,2.12928,1.46433,0.19406,0.23024,0.13316,0.03707,2.87712,2.08622,1.84387,0.00911469,0.00911469,0.00911469
60,210.443,2.25763,2.18618,1.49134,0.23277,0.17472,0.143,0.05011,2.57459,2.10813,1.53906,0.00908488,0.00908488,0.00908488
61,213.897,2.28775,2.15327,1.48786,0.35855,0.23315,0.16414,0.05312,2.57117,1.99736,1.43077,0.00905463,0.00905463,0.00905463
62,217.389,2.33715,2.14485,1.46235,0.28204,0.20332,0.15526,0.04316,2.63441,2.21523,1.56681,0.00902395,0.00902395,0.00902395
63,220.857,2.20652,2.11704,1.45432,0.24194,0.25238,0.15157,0.05392,2.5204,2.2539,1.52709,0.00899282,0.00899282,0.00899282
64,224.324,2.19009,2.06293,1.45336,0.24206,0.25518,0.15242,0.0429,2.66952,2.26367,1.57601,0.00896127,0.00896127,0.00896127
65,227.761,2.25066,2.13719,1.47984,0.24574,0.27942,0.15835,0.04588,2.90327,1.96888,1.64947,0.00892928,0.00892928,0.00892928
66,231.254,2.11103,2.07672,1.40775,0.25265,0.24703,0.18248,0.06227,2.63226,1.96994,1.59808,0.00889687,0.00889687,0.00889687
67,234.765,2.17551,2.07169,1.46982,0.25009,0.28009,0.17246,0.05564,2.4986,1.86614,1.45458,0.00886404,0.00886404,0.00886404
68,238.233,2.23719,2.1114,1.46294,0.24685,0.31434,0.20366,0.06928,2.4426,2.09555,1.46672,0.00883079,0.00883079,0.00883079
69,241.775,2.22403,2.10723,1.48326,0.31685,0.31571,0.17583,0.0629,2.54397,2.02762,1.57079,0.00879713,0.00879713,0.00879713
70,245.244,2.20571,2.11991,1.44653,0.22633,0.28693,0.18646,0.06326,2.60058,1.96336,1.49,0.00876305,0.00876305,0.00876305
71,248.687,2.25046,2.11505,1.391,0.26762,0.30289,0.17509,0.04539,2.80393,1.98648,1.51192,0.00872857,0.00872857,0.00872857
72,252.148,2.25115,2.06788,1.44779,0.25305,0.24716,0.15484,0.05094,2.66458,2.05372,1.47314,0.00869368,0.00869368,0.00869368
73,255.665,2.2343,2.03046,1.41993,0.30162,0.27905,0.20106,0.07037,2.5786,1.86823,1.48791,0.00865839,0.00865839,0.00865839
74,259.188,2.13317,2.01836,1.44524,0.30743,0.3541,0.21359,0.07577,2.57446,1.81749,1.59826,0.00862271,0.00862271,0.00862271
75,262.668,2.18122,2.00399,1.43261,0.29746,0.3275,0.22311,0.07332,2.62443,1.85331,1.46977,0.00858664,0.00858664,0.00858664
76,266.131,2.12719,2.02561,1.44277,0.3036,0.30937,0.24473,0.09171,2.39966,1.83873,1.40223,0.00855018,0.00855018,0.00855018
77,269.625,2.17266,2.00756,1.46315,0.26709,0.26269,0.17796,0.05475,2.64257,1.93838,1.54213,0.00851333,0.00851333,0.00851333
78,273.094,2.17495,2.0596,1.46987,0.34273,0.26703,0.2102,0.0788,2.71603,2.11654,1.58647,0.00847611,0.00847611,0.00847611
79,276.554,2.19164,2.06644,1.41844,0.19156,0.26385,0.12702,0.03068,2.66588,1.9864,1.48484,0.00843851,0.00843851,0.00843851
80,280.025,2.11671,1.96546,1.43713,0.3388,0.25274,0.18906,0.06389,2.69221,1.99706,1.42063,0.00840054,0.00840054,0.00840054
81,283.518,2.13226,2.02346,1.45007,0.27076,0.30292,0.19908,0.05937,2.66634,2.12855,1.57492,0.0083622,0.0083622,0.0083622
82,286.969,2.15873,1.97614,1.4223,0.31753,0.24282,0.20875,0.05632,2.64793,2.08936,1.42497,0.00832349,0.00832349,0.00832349
83,290.508,2.10551,1.94225,1.34973,0.29152,0.3047,0.19425,0.06436,2.62776,1.84056,1.50076,0.00828443,0.00828443,0.00828443
