epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,4854.9,1.28118,0.71708,1.11056,0.93807,0.96277,0.9709,0.63833,1.21829,0.6164,1.11924,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,5004.91,1.28677,0.71483,1.11121,0.9279,0.9582,0.96515,0.64014,1.20753,0.62699,1.12366,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,5153.97,1.27946,0.70429,1.1119,0.93548,0.95516,0.97147,0.64535,1.20565,0.62283,1.11593,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5303.9,1.25676,0.6948,1.09786,0.93783,0.95713,0.97002,0.65041,1.2045,0.608,1.12498,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,5452.73,1.25936,0.697,1.10237,0.93635,0.95839,0.96661,0.6554,1.19663,0.59643,1.11713,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,5601.42,1.24208,0.68542,1.09167,0.93558,0.96193,0.9685,0.64945,1.18581,0.59383,1.11501,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,5752.04,1.24631,0.69053,1.09406,0.93267,0.96106,0.9679,0.64667,1.18509,0.59654,1.11887,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,5902.16,1.23776,0.67796,1.09272,0.94077,0.95415,0.96866,0.66282,1.1551,0.59029,1.09935,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,6050.6,1.23638,0.67674,1.09,0.93695,0.96362,0.96853,0.66224,1.14309,0.58136,1.09057,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,6201.56,1.23855,0.67523,1.08791,0.93735,0.96531,0.97513,0.66524,1.14091,0.57783,1.09104,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,6351.2,1.22643,0.66874,1.08671,0.93514,0.96277,0.97394,0.65847,1.15284,0.57216,1.09409,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,6500.24,1.22785,0.66378,1.08752,0.93839,0.96531,0.97065,0.66139,1.13848,0.56729,1.08706,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,6649.86,1.21349,0.66322,1.07851,0.93881,0.96055,0.97094,0.6605,1.1447,0.55956,1.08983,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,6798.34,1.21775,0.65457,1.08231,0.94144,0.95854,0.97025,0.66601,1.13945,0.54883,1.09309,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,6948.19,1.20887,0.65896,1.0796,0.9314,0.96362,0.97121,0.66573,1.13846,0.5574,1.09275,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,7096.99,1.20987,0.6528,1.08443,0.9376,0.96108,0.96788,0.6641,1.14611,0.55311,1.09415,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,7246.39,1.20248,0.6435,1.07675,0.93642,0.95943,0.96879,0.67144,1.13754,0.55295,1.08711,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,7395.88,1.20558,0.64671,1.07697,0.93734,0.9619,0.97275,0.66954,1.14419,0.54559,1.09,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,7544.44,1.19885,0.63947,1.08001,0.94735,0.9577,0.97118,0.67432,1.12173,0.53906,1.08302,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,7693.14,1.19586,0.63831,1.06994,0.94447,0.96193,0.97124,0.67122,1.13559,0.54047,1.08275,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,7844.32,1.18771,0.63773,1.07078,0.93946,0.95008,0.97489,0.67508,1.1248,0.54281,1.08055,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,7993.74,1.1851,0.63433,1.0697,0.9474,0.96007,0.97718,0.67782,1.11689,0.53277,1.07792,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,8143.98,1.18728,0.6372,1.06983,0.94667,0.96447,0.97593,0.67902,1.10701,0.53342,1.07769,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,8294.57,1.1921,0.63146,1.07358,0.94554,0.95939,0.97055,0.68454,1.09815,0.53265,1.07753,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,8445.21,1.17859,0.61967,1.06801,0.94053,0.96616,0.971,0.6834,1.09516,0.52867,1.07578,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,8594.63,1.17891,0.62131,1.0691,0.95092,0.95062,0.9714,0.68162,1.0909,0.52391,1.07308,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,8743.49,1.18612,0.62071,1.06868,0.94905,0.95008,0.97511,0.67978,1.09595,0.52452,1.07258,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,8894.12,1.16325,0.61727,1.06296,0.94487,0.95699,0.97268,0.6824,1.10057,0.52304,1.07736,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,9043.64,1.16867,0.6163,1.06138,0.94645,0.95854,0.9733,0.68499,1.101,0.5278,1.07492,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,9192.55,1.15735,0.61591,1.05997,0.94895,0.96108,0.97424,0.68351,1.09443,0.52182,1.0723,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,9343.68,1.15762,0.60724,1.06057,0.95222,0.96103,0.97793,0.6842,1.09579,0.51652,1.0724,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,9490.05,1.15222,0.60117,1.06452,0.94919,0.96531,0.97345,0.68526,1.0941,0.5182,1.06801,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
